items_title,items_dcCreator,items_dataProvider,items_type,items_country,items_id,items_edmTimespanLabelLangAware_def,items_edmPreview
"Le Grice, Malcolm (18 of 28). National Life Stories: Artists' Lives",,The British Library,SOUND,united kingdom,/2059209/data_sounds_C0466X0353XX_0018,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fsounds.bl.uk%2Fwaveforms%2FArt%2F021A-C0466X0353XX-0018A0.png&size=LARGE&type=SOUND
Study for Mona Lisa with Keys,"Fernand Leger, French, 1881-1955","The Israel Museum, Jerusalem",IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_289423,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fprintsanddraw%2FLejwa%2520coll%2C%2520jpeg%2FB00_1127%7EFernand%2520Leger%2C%2520Study%2520for%2520Mona%2520Lisa%2520with%2520Keys%2C%2520c.jpg&size=LARGE&type=IMAGE
Dalí Mona Lisa,"Philippe Halsman, 1906, Riga, Latvia - 1979, New York","The Israel Museum, Jerusalem",IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_220221,1953,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmuseum.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FHalsman%7EB99_1669_1.jpg&size=LARGE&type=IMAGE
L.H.O.O.Q Shaved,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France","The Israel Museum, Jerusalem",IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219738,1965,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FB99_1615.jpg&size=LARGE&type=IMAGE
Picabia's Mona Lisa,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France","The Israel Museum, Jerusalem",IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219739,1965,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FDuchamp%7EB99_1616.jpg&size=LARGE&type=IMAGE
L.H.O.O.Q.,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France","The Israel Museum, Jerusalem",IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_199796,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmuseum.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fimj%2520book%25202005%2FDuchamp%2C%2520Marcel%2C%2520LHOOQ%2C%25201919_1964.jpg&size=LARGE&type=IMAGE
Barbiera,,International Institute of Social History,IMAGE,netherlands,/2022096/10622_7CA92152_1BF3_4406_9247_1B34149C54D0_cho,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fhdl.handle.net%2F10622%2F30051002067376%3Flocatt%3Dview%3Alevel3&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, interiör, detalj ur inredningen - en tavla.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_8,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV9WAvf%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_9,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV9WAvg%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_7,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032wZWV9WAve%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_5,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV9WAvc%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_6,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032wZWV9WAvd%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, exteriör, uteservering.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_11,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV9WArD%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Kumla, interiör, beställningsdisk och menytavlor.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_35_10,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032wZWV9WArC%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Fellingsbro, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_32_8,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV85DMh%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Fellingsbro, tavla på väggen med tack för sponsring till det lokala fotbollslaget.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_32_9,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV85DMi%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Fellingsbro, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_32_6,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032wZWV85DHR%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Fellingsbro, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_32_7,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032wZWV85DHS%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Fellingsbro, interiör, beställningsdisk/kök.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_32_11,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F022wZWV85DHL%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Pizzeria Mona Lisa i Fellingsbro, interiör.
Bilder tagna i samband med dokumentationsprojektet ""Pizzerior och paraboler"", delprojektet ""Pizzerior i Örebro län"".
Dnr: 2004.250.068","Björck, Johanna",Örebro läns museum,IMAGE,sweden,/916121/S_OLM_photo_OLM_2005_32_10,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032wZWV85DHK%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Nasze Morze, 2008, nr 3",,Bałtycka Biblioteka Cyfrowa,TEXT,poland,/0940442/_nnwktxs,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbibliotekacyfrowa.eu%2FContent%2F35799%2F032.djvu&size=LARGE&type=TEXT
"Joconde, ryc. LXXXIII","Hotelin, Laurent (19 w.), grafik-drzeworytnik",Biblioteka Cyfrowa Uniwersytetu Wrocławskiego,IMAGE,poland,/0940429/_nnnX7sX,19..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bibliotekacyfrowa.pl%2FContent%2F14622%2F0092_0001.djvu&size=LARGE&type=IMAGE
Leonardo i Mona Lisa [dokument dźwiękowy],"Balcerowicz, Jerzy",Pomorska Biblioteka Cyfrowa,SOUND,poland,/0940417/_nnbhn5d,1981,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fpbc.gda.pl%2FContent%2F19793%2F05.mp3&size=LARGE&type=SOUND
Muzeum Sztuk Pięknych w Warszawie. Galeria w Domu Neprosa przy ul. Wierzbowej 11 - fragment ekspozycji malarstwa włoskiego,nieznany,Cyfrowe Muzeum Narodowe w Warszawie,IMAGE,poland,/0940409/_nntrWvZ,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F2591%2Fdi61382.jpg&size=LARGE&type=IMAGE
"""Lionardo da Vinci. Portrait de Mona Lisa (La Joconde)"" [""Portret Mony Lizy"", obraz Leonarda da Vinci (olej, 1503-1505) z kolekcji Muzeum Luwru]; 
fotografia z serii: ""La Galerie de tableaux du musée impérial du Louvre à Paris. Photographies d'après les tableaux originaux...""",nieznany,Cyfrowe Muzeum Narodowe w Warszawie,IMAGE,poland,/0940409/_nntr6sf,19..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F2459%2Fdi56783.jpg&size=LARGE&type=IMAGE
Mona Lisa w sleepingu,"Janisch, Jerzy (1901-1962)",Cyfrowe Muzeum Narodowe w Warszawie,IMAGE,poland,/0940409/_nn0Wq58,1939,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F34809%2Frysw190.jpg&size=LARGE&type=IMAGE
Rendez-vous z Mona Lisą,"Piątkowski, Jerzy (1943- )",Małopolska Biblioteka Cyfrowa,TEXT,poland,/0940433/_nnhdRT1,2007,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmbc.malopolska.pl%2FContent%2F5789%2Fp0025.djvu&size=LARGE&type=TEXT
Transitkunst. Studien zur Literatur 1890-2010,,Deutsche Nationalbibliothek,TEXT,germany,/2048441/item_W3NHSKOGDZS7D5VMTZWHVY6LJPMIHDM4,-1,
On the nature of the background behind Mona Lisa,"Carbon, Claus-Christian",Deutsche Nationalbibliothek,TEXT,germany,/2048441/item_QOHMTRXW7IWUDYCX4YVJDJ53PY4HBOTC,-1,
Das Lächeln der Mona Lisa,"Tucholsky, Kurt http://data.europeana.eu/agent/base/138503",Deutsche Nationalbibliothek,TEXT,germany,/2048441/item_NQVJ4HLHEXG2HNB4KYA7ZRM5TEFCJ74I,-1,
Mona Lisa is always happy - and only sometimes sad,"Liaci, Emanuela Institut für Grenzgebiete der Psychologie und Psychohygiene",Deutsche Nationalbibliothek,TEXT,germany,/2048441/item_CMR3LPDTGATOJV4LBQGS4VVCZ5TS4SL2,2017,
"Maastricht. Maas. Romeinse vondsten opgebaggerd tijdens het uitdiepen van de Maas. Elk jaar heeft een eigen gezicht. Het gezicht van een mens. Van een kind dat, met grote ogen, juist toe is aan zijn eerste levensontdekkingen, of van een vermoeide grijzende man. Van een meisje in haar lente, van een jongeman in de volle ontplooiing van zijn levenskracht, of van een vrouw waarover de regen van grote zorgen viel. een gezicht met het stempel van weemoed of levenslust, van vreugde of smart. Het jaar 1963 had voor Maastricht het gezicht van 'de vrouw met de glimlach'. Niet de glimlach van de kathedraal engel van Reims of de Mona Lisa maar, met een glimlach tussen beide in. Een glimlach die evenzeer van mildheid getuigt als van sterke wil; een glimlach vol innerlijke rust en vol daadkracht. De glimlach van het vrouwenbeeld dat dit jaar uit de Maas naar boven gehaald werd. Samen met een, even voorlopige als verrassende, rijkdom aan beelden, beeldfragmenten en munten, welke beloven een nog ongekend venster te openen op de historie van Maastricht. (Jaarboek 1963; blz. 3-6.) 22770",,Historisch centrum Limburg,IMAGE,netherlands,/2021646/HttpHandler_icoon_ico_file_2807706,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2FRHCL.Hosting.DEVENTit.net%2FHttpHandler%2Ficoon.ico%3Ffile%3D2807706&size=LARGE&type=IMAGE
Het was opruimen geblazen gisteren bij veel cafés in Den Bosch. Met vereende krachten werden de restanten van de afgelopen carnavalsdagen verwijderd. Zoals hier bij café Mona Lisa in de Kolperstraat.,"Janssens, Felix",Stadsarchief 's-Hertogenbosch,IMAGE,netherlands,/2021633/AtlantisPubliek_detail_aspx_xmldescid_753573157,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdenbosch.hosting.deventit.net%2FHttpHandler%2Ficoon.ico%3Ffile%3D955902743&size=LARGE&type=IMAGE
schilder Boone met zijn Mona Lisa,"Midavaine, J.",Zeeuwse Bibliotheek,IMAGE,netherlands,/2021630/foto_1dfe2a20_97d1_11e3_b66f_67133ee27578,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fimages.memorix.nl%2Fzeb%2Fthumb%2F640x480%2Fcbbd8b22-d37c-fdea-26fb-cd73a4421401.jpg&size=LARGE&type=IMAGE
Bomullsspinneriet Kampenhofs damhandbollslag 1946.,Okänd,Bohusläns museum,IMAGE,sweden,/916105/bhm_photo_UMFA53930_0016,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F012wX1Q3Qis6%3Fdimension%3D1200x1200&size=LARGE&type=IMAGE
"Max Schillings, Mona Lisa",,Divadelný ústav,IMAGE,slovakia,/2024916/photography_ProvidedCHO_Divadeln___stav_ZI_4793_,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.theatre.sk%2Falinari%2Fthumbnails%2FZI%2FZI_4793-t.jpg&size=LARGE&type=IMAGE
"Max Schillings, Mona Lisa",,Divadelný ústav,IMAGE,slovakia,/2024916/photography_ProvidedCHO_Divadeln___stav_ZI_4641_,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.theatre.sk%2Falinari%2Fthumbnails%2FZI%2FZI_4641-t.jpg&size=LARGE&type=IMAGE
"Simon och ekarna, 2002, Simon och ekarna","Fredriksson, Marianne [bok], Sundstedt, Kjell [manus] Hjertén, Lisa [scenografi; kostym], Wiberg, Anna-Karin [kostymass.] Román, Niklas Kjelbye, Ola [programfoto], Olsson, Mikael [affisch] Kjelbye, Ola [programfoto], Olsson, Mikael [affisch]",Göteborgs stadsmuseum,TEXT,sweden,/916100/GSM_event_828813,2002,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2F62.88.129.39%2Fcarlotta%2Fweb%2Fimage%2Fzoom%2F828855%2FSimon%2520och%2520ekarna%2C%25202002.bild1.jpg&size=LARGE&type=TEXT
Mona Lisa Berskog nordre,,The National Archives of Norway,TEXT,norway,/2058621/locloud_preg_dd0d30c0_0ea9_4820_8b5c_6ac2daa6a3a2,-1,
Das Mona Lisa Problem - methodische Anmerkungen zur Verbalisierung von 'Sozial Leisem',"Meier, Michael",GESIS - Leibniz-Institut für Sozialwissenschaften. Bibliothek Köln,TEXT,germany,/2048425/item_DQSI2IBLW263HBZK6S2WLDFFXUTVX6BB,21..,
"Museum Louvre, Mona Lisa hinter Panzerglas, im Visier von Amateur-Digitalfotografen aus aller Welt","Gerig, Uwe (Fotograf)",Deutsche Fotothek,IMAGE,germany,/2048411/item_623QAD4PD3EVYYJSGA23CYBEIUSCSJ2N,2005,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005558.jpg&size=LARGE&type=IMAGE
"Museum Louvre, Besucher vor dem Bild der Mona Lisa von Leonardo da Vinci","Gerig, Uwe (Fotograf)",Deutsche Fotothek,IMAGE,germany,/2048416/item_PWW34CFKN6MK7O2TD25VQ6L2IALBX77O,2005,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005556.jpg&size=LARGE&type=IMAGE
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/VANI_884385765354_1_14,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F765%2F884385765354%2F884385765354_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_885686151495_1_13,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F885%2F686%2F151%2F885686151495%2F885686151495_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_885686125564_1_3,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F885%2F686%2F125%2F885686125564%2F885686125564_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_885686049198_1_10,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F885%2F686%2F049%2F885686049198%2F885686049198_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385985349_1_22,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F985%2F884385985349%2F884385985349_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385794323_1_1,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F794%2F884385794323%2F884385794323_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385790110_1_8,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F790%2F884385790110%2F884385790110_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385787417_1_20,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F787%2F884385787417%2F884385787417_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385645915_1_10,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F645%2F884385645915%2F884385645915_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385644611_1_1,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F644%2F884385644611%2F884385644611_thumb.jpg&size=LARGE&type=SOUND
Kashmir,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_9,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Poor Tom,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_7,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Tangerine,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_8,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
No Quarter,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_6,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
In My Time Of Dying,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_5,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Four Sticks,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_4,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
The Rain Song,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_3,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Gallows Pole,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_2,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Immigrant Song,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_10,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Wearing And Tearing,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385442187_1_1,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F442%2F884385442187%2F884385442187_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_884385049447_1_7,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F049%2F884385049447%2F884385049447_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_843436059286_1_2,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F843%2F436%2F059%2F843436059286%2F843436059286_thumb.jpg&size=LARGE&type=SOUND
Medan Mona Lisa Flinar,,RBB AIT DISMARC,SOUND,austria,/2059202/ORCHARD_829410259385_1_1,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F829%2F410%2F259%2F829410259385%2F829410259385_thumb.jpg&size=LARGE&type=SOUND
Sad Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/FIRR_884385541125_1_22,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F541%2F884385541125%2F884385541125_thumb.jpg&size=LARGE&type=SOUND
Sad Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/FIRR_829410531870_1_9,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F829%2F410%2F531%2F829410531870%2F829410531870_thumb.jpg&size=LARGE&type=SOUND
Mona Lisa,,RBB AIT DISMARC,SOUND,austria,/2059202/ARRA_884385863715_1_31,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feusounds.ait.co.at%2Fsamples_orc%2F884%2F385%2F863%2F884385863715%2F884385863715_thumb.jpg&size=LARGE&type=SOUND
